Team,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,Henry Ellenson\ellenhe01,20,14,0,56,5.1,14.8,0.348,2.6,9,0.286,2.6,5.8,0.444,0.6,0.6,1,1.3,6.4,7.7,2.6,0,0,3.2,1.9,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,Michael Gbinije\gbinimi01,24,9,0,32,1.1,11.3,0.1,0,4.5,0,1.1,6.8,0.167,2.3,2.3,1,2.3,1.1,3.4,2.3,0,0,0,2.3,4.5Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Toronto Raptors,Kyle Lowry\lowryky01,30,56,56,2111,6.9,14.8,0.463,3.2,7.6,0.417,3.7,7.3,0.512,4.8,5.9,0.826,0.8,3.8,4.6,6.6,1.4,0.3,2.7,2.8,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors,DeMar DeRozan\derozde01,27,50,50,1775,10,21.5,0.464,0.4,1.5,0.253,9.6,20,0.48,7.4,8.7,0.845,1,4.4,5.4,3.8,1.1,0.2,2.4,1.9,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors,Jonas Valanciunas\valanjo01,24,55,55,1481,6.7,12.4,0.538,0,0,,6.7,12.4,0.538,3.2,3.8,0.852,3.9,9.3,13.2,1,0.6,1,1.9,3.7,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors,DeMarre Carroll\carrode01,30,52,52,1418,4.5,10.8,0.413,2.2,6.2,0.352,2.3,4.6,0.495,1.7,2.2,0.77,1.2,4.1,5.3,1.3,1.6,0.5,1,2.6,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors,Cory Joseph\josepco01,25,55,1,1243,5.4,12.1,0.443,0.8,2.1,0.394,4.5,10,0.452,2.1,2.6,0.791,0.9,3.3,4.2,4.4,1.2,0.1,1.7,2.7,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors,Terrence Ross\rosste01,25,54,0,1207,6.3,14.3,0.441,2.9,7.6,0.375,3.4,6.7,0.516,1.2,1.5,0.82,0.4,3.7,4.1,1.3,1.6,0.6,1,2.4,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors,Patrick Patterson\pattepa01,27,40,7,1090,3.3,8.5,0.385,2,5.6,0.363,1.2,2.8,0.43,0.9,1.4,0.659,1.6,5.6,7.1,1.9,1,0.5,0.9,2.8,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors,Lucas Nogueira\noguelu01,24,48,6,1037,3.6,5.2,0.682,0.1,0.3,0.333,3.5,4.9,0.704,1.5,2.3,0.657,2.8,5.2,8,1.4,1.7,3,1.5,4.6,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors,Norman Powell\powelno01,23,53,15,919,5.6,12.4,0.454,1.4,4.1,0.343,4.2,8.3,0.509,2.7,3.4,0.773,0.7,3.4,4.1,2.2,1.5,0.4,1.7,3.3,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,
